Title,Summary,Date,Author,Source,URL,Title Length,Summary Length,Language
"Kerala landslides death toll hits 151, many missing as rain hampers rescue","Hundreds of rescue workers search through mud and debris for a second day after multiple landslides hit a hilly district in India’s southern state.
Hundreds of rescue workers are searching through mud and debris from multiple landslides that have killed at least 151 people in southern India’s Kerala state, police said.
“The landslides happened at the top and then affected the lower valley areas where people were staying.
Television footage showed rescue workers making their way through mud and uprooted trees to reach those who had been stranded.
Nearly 500 people were killed around Kerala in 2018 during the worst flooding to hit the state in almost a century.",07/31/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/india-kerala-landslides-death-toll-hits-151-many-missing-as-rain-hampers-rescue,74,667,en
World reacts to killing of Hamas political chief Haniyeh in Iran,"Hamas’s political chief was in Tehran when he was killed, with the Palestinian group that governs Gaza blaming Israel.
Hamas’s political leader Ismail Haniyeh has been killed in Iran’s capital Tehran.
His death has been confirmed in separate statements by the Palestinian group that runs the Gaza Strip and Iran’s elite Islamic Revolutionary Guard Corps.
Israel is on the verge of collapse, and its reactions reflect confusion and inability to achieve any of its goals.
Iranian Foreign Ministry spokesman Nasser Kanaani“Haniyeh’s martyrdom in Tehran will strengthen the deep and unbreakable bond between Tehran, Palestine, and the resistance,” Kanaani said, according to Iranian state media.",07/31/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/reactions-to-the-killing-of-hamass-ismail-haniyeh,64,691,en
Why protest by ethnic Baloch has put Pakistan’s key port of Gwadar on edge,"Islamabad, Pakistan — Tensions are high in Pakistan’s port city of Gwadar in the southwestern Balochistan province where an ethnic Baloch group has been protesting for days, following the arrests of some of their members and deadly clashes with security forces.
Gwadar is Pakistan’s only deep-sea port on the Arabian Sea, and is a key route of the $60bn China-Pakistan Economic Corridor (CPEC).
The ethnic Baloch allege that the Pakistani state has neglected their community and exploited the province’s mineral resources.
Arrests and blockadesOn Sunday, the BYC called for a “Baloch Rajee Muchi”, or Baloch National Gathering, in Gwadar.
“The paramilitary force opened fire on a convoy comprising hundreds of people, including women and children, who were travelling from Quetta to Gwadar,” BYC representative Bebarg Baloch told Al Jazeera.",07/31/2024,Abid Hussain,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/why-protest-by-ethnic-baloch-has-put-pakistans-key-port-of-gwadar-on-edge,74,841,en
‘Childless cat ladies’: Has JD Vance taken on 22 million US women?,"Trump had chosen Vance as his running mate ahead of the Republican National Convention in July.
Vance made the comment in a 2021 interview with former Fox News host Tucker Carlson.
Transportation Secretary Buttigieg and his husband, Chasten Buttigieg, adopted twins in August 2021, the same year that Vance made his comment.
Vance’s statements are likely not going to impact the women who are die-hard Trump supporters, Walsh said.
However, it “does not seem like” they are trying to appeal to women who do not typically vote Republican, she said.",07/30/2024,Sarah Shamim,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/childless-cat-ladies-has-jd-vance-taken-on-22-million-us-women,66,547,en
"Far-right protesters target Southport mosque, clash with UK police","Merseyside Police said that 22 officers were injured in Tuesday night’s violence, eight of them seriously.
The unrest began when several hundred people, most of them men, began targeting a Southport mosque, setting vehicles and wheelie bins on fire and attacking a local shop.
Three girls were killed in the attack while eight children were injured, with five of them in critical condition in hospital.
“The people of Southport are reeling after the horror inflicted on them yesterday,” he wrote on the social media platform X.
“This evening we have seen distressing scenes outside Southport Mosque with angry protesters gathering outside,” it said in a statement.",07/31/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/31/far-right-protesters-target-southport-mosque-clash-with-uk-police,66,664,en
Venezuela protests grow as opposition disputes vote results,"Protesters have taken to the streets again in Venezuela as opposition leaders are disputing the results of a weekend election that saw President Nicolas Maduro secure another term in power.
At least 11 people had been killed in incidents related to the election count or the protests, rights group Foro Penal said Tuesday.
Meanwhile, Venezuela opposition party Voluntad Popular said in a social media post on Tuesday that its national coordinator Freddy Superlano had been detained.
Kremlin spokesman Dmitry Peskov said on Tuesday that the Venezuelan opposition must accept defeat and warned against external interference.
The ongoing political unrest has raised concerns about potential repression of peaceful protests, as well as a new wave of migration from Venezuela.",07/30/2024,,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/more-protests-loom-in-venezuela-as-opposition-disputes-election-results,59,771,en
"Anxiety, resignation in Beirut as residents fear war with Israel","People in Lebanese capital fearful of widespread conflict between Israel and Hezbollah following Golan Heights attack.
Working on her laptop in a cafe in Hamra, a bustling Beirut neighbourhood, the 27-year-old entrepreneur said she is coping with anxiety in anticipation of a possible large-scale Israeli attack on the city.
Israel has blamed the Golan Heights attack on Hezbollah, but the Lebanese armed group has denied responsibility.
Now, with Israel threatening retribution for the Golan Heights deaths, those fears have exploded.
Israel said it had targeted a Hezbollah commander responsible for the Golan Heights attack.",07/30/2024,Mat Nashed,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/anxiety-resignation-in-beirut-as-residents-worry-about-an-israeli-attack,64,627,en
Are Palestinians being tortured in Israeli prisons?,"Israel has detained nine soldiers working at the Sde Teiman detention camp in the Naqab (Negev) desert, accused of abusing Palestinians held there.
Members of a unit known as Force 100 are alleged to have committed “substantial abuse” towards Palestinian prisoners.
International news outlets such as CNN and The Associated Press (AP) have also reported on the conditions at Sde Teiman.
Similar allegations have been reported from prisons holding Palestinians across Israel and the occupied West Bank.
The description of the acts committed against Palestinian prisoners in Israeli prisons, if proven, would appear to match that definition.",07/30/2024,Al Jazeera Staff,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/are-palestinians-being-tortured-in-israeli-prisons,51,639,en
"What’s happening in Venezuela? Election turmoil, protests and fraud claims","Tensions escalate in Venezuela with the opposition releasing what it says is proof of fraud in Sunday’s election, in which President Nicolas Maduro was declared the winner.
Thousands of people have taken to the streets in Venezuela to protest against what they say is President Nicolas Maduro’s fraudulent election win.
So what’s happening in Venezuela, and what are the protests about?
On Monday, the National Electoral Council (CNE) certified Maduro’s re-election.
“If they jail Corina Machado, the protests can go out of control, and this can really hit the government,” he explained.",07/30/2024,Elizabeth Melimopoulos,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/whats-happening-in-venezuela-election-turmoil-protests-and-fraud-claims,74,587,en
‘Nowhere is safe in Belgorod’: Fears grip Russian region bordering Ukraine,"On May 12, Alexander’s apartment shook and his window shattered as his city of Belgorod, in the Russian region bordering Ukraine, came under attack.
According to the local Russian governor of Belgorod, Vyacheslav Gladkov, more than 200 residents of the region have died as a result of hostilities since 2022.
Pavel Luzin, an expert in Russian military matters at the Fletcher School at Tufts University, Massachusetts, does not believe that civilian casualties are intentional.
“They have weakened Russia’s military capabilities: Russia needs to spend its limited military resources to counteract Ukraine’s strikes in the region.
The Ukrainian military says it has begun striking military targets, including arms depots and air and naval installations.",07/30/2024,Niko Vorobyov,www.aljazeera.com,https://www.aljazeera.com/news/2024/7/30/nowhere-is-safe-in-belgorod-fears-grip-russian-region-bordering-ukraine,74,752,en
